zinc_ids,polymer,reactants
ZINC000091526194,*=CC1CC(C=*)C(CCNC(=O)c2cnn(CCC)c2C)C1,CCCn1ncc(C(=O)NCCC2CC3C=CC2C3)c1C
ZINC000091552048,*=CCN(Cc1cc(=O)c2cccc(F)c2[nH]1)C(C=*)CC,CCC1C=CCN1Cc1cc(=O)c2cccc(F)c2[nH]1
ZINC000091896073,*=CC1CC(C=*)C(CNC(=O)c2cc(CC(C)C)nn2C)C1,CC(C)Cc1cc(C(=O)NCC2CC3C=CC2C3)n(C)n1
ZINC000095357914,*=CCN(C(=O)c1cc(Cl)c(C)c(Cl)c1)C(C=*)CO,Cc1c(Cl)cc(C(=O)N2CC=CC2CO)cc1Cl
ZINC000095365392,*=CC1CC(C=*)C(CCNC(=O)CC2CCN(CC)CC2)C1,CCN1CCC(CC(=O)NCCC2CC3C=CC2C3)CC1
ZINC000095508654,*=CCN(C(=O)Nc1cn(CCC)nn1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)Nc1cn(CCC)nn1
ZINC000095524440,*=CC1CC(C=*)C(C(=O)N2CCC(c3nccn3CC)CC2)C1,CCn1ccnc1C1CCN(C(=O)C2CC3C=CC2C3)CC1
ZINC000096136079,*=CCN(C(=O)Nc1cccc(-c2n[nH]c(C)n2)c1)C(C=*)CC,CCC1C=CCN1C(=O)Nc1cccc(-c2n[nH]c(C)n2)c1
ZINC000097213108,*=CC1CC(C=*)C(CCNC(=O)c2cc(CC)no2)C1,CCc1cc(C(=O)NCCC2CC3C=CC2C3)on1
ZINC000097463702,*=CCN(C(=O)c1cn2ccccc2n1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1cn2ccccc2n1
ZINC000097474953,*=CCN(C(=O)c1ccc(-n2ccnc2)cc1)C(C=*)CC,CCC1C=CCN1C(=O)c1ccc(-n2ccnc2)cc1
ZINC000097514166,*=CCN(C(=O)Nc1cnn(CC)c1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)Nc1cnn(CC)c1
ZINC000097529077,*=CC1CC(C=*)C(CCNC(=O)c2ccc3c(c2)ncn3C)C1,Cn1cnc2cc(C(=O)NCCC3CC4C=CC3C4)ccc21
ZINC000097532122,*=CCC(CC=*)c1nc(C2CCOCC2)nn1-c1cccnc1,C1=CCC(c2nc(C3CCOCC3)nn2-c2cccnc2)C1
ZINC000097679773,*=CC1CC(C=*)C(CCNC(=O)c2c(C)nn(CC)c2C)C1,CCn1nc(C)c(C(=O)NCCC2CC3C=CC2C3)c1C
ZINC000097696133,*=CC1CC(C=*)C(CCNC(=O)c2ccn(C(C)C)n2)C1,CC(C)n1ccc(C(=O)NCCC2CC3C=CC2C3)n1
ZINC000130207574,*=CC1CC(C=*)C(C(=O)NCc2nc3c(C)cccc3[nH]2)C1,Cc1cccc2[nH]c(CNC(=O)C3CC4C=CC3C4)nc12
ZINC000299763516,*=CCN(C(=O)Nc1ccc(-c2nncn2C)cc1)C(C=*)CC,CCC1C=CCN1C(=O)Nc1ccc(-c2nncn2C)cc1
ZINC000299767037,*=CCC(CC=*)C(=O)NCCN1CCC(c2ccccc2)CC1,O=C(NCCN1CCC(c2ccccc2)CC1)C1CC=CC1
ZINC000299773241,*=CC1CC(C=*)C(CNC(=O)Nc2cccc3cn[nH]c23)C1,O=C(NCC1CC2C=CC1C2)Nc1cccc2cn[nH]c12
ZINC000299773677,*=CC1CC(C=*)C(C(=O)NCc2nc3c(s2)CCCC3)C1,O=C(NCc1nc2c(s1)CCCC2)C1CC2C=CC1C2
ZINC000299790608,*=Cc1ccccc1C1(C=*)CCN(CCn2cccn2)CC1,C1=CC2(CCN(CCn3cccn3)CC2)c2ccccc21
ZINC000299798015,*=CCN(C(=O)Cn1cc(Cl)c(C)n1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)Cn1cc(Cl)c(C)n1
ZINC000299800263,*=CCC(CC=*)C(=O)N1CC(Oc2cccc(Cl)c2)C1,O=C(C1CC=CC1)N1CC(Oc2cccc(Cl)c2)C1
ZINC000299801006,*=CC1CC(C=*)C(CNC(=O)Nc2cncc(F)c2)C1,O=C(NCC1CC2C=CC1C2)Nc1cncc(F)c1
ZINC000065525814,*=CCC(CC=*)NCCC(=O)N(CC)Cc1ccccc1,CCN(Cc1ccccc1)C(=O)CCNC1CC=CC1
ZINC000096179819,*=CCN(C(=O)c1ccc(N2CCCC2=O)cc1)C(C=*)CC,CCC1C=CCN1C(=O)c1ccc(N2CCCC2=O)cc1
ZINC000097447117,*=CCN(C(=O)c1cnc(-c2cccnc2)nc1)C(C=*)C(C)C,CC(C)C1C=CCN1C(=O)c1cnc(-c2cccnc2)nc1
ZINC000097602547,*=CCN(C(=O)c1cc(-c2ccncc2)n[nH]1)C(C=*)C(C)C,CC(C)C1C=CCN1C(=O)c1cc(-c2ccncc2)n[nH]1
ZINC000097729577,*=CCN(C(=O)Nc1cc(C(C)(C)C)nn1C)C(C=*)CC,CCC1C=CCN1C(=O)Nc1cc(C(C)(C)C)nn1C
ZINC000097785081,*=CCN(C(=O)c1ccc(CN2CCCC2)o1)C(C=*)C(C)C,CC(C)C1C=CCN1C(=O)c1ccc(CN2CCCC2)o1
ZINC000019642683,*=CCN(CC=*)C(=O)C1CCCc2c1[nH]c1ccccc21,O=C(C1CCCc2c1[nH]c1ccccc21)N1CC=CC1
ZINC000055132405,*=CCN(C(=O)CSc1nnc(C)s1)C(C=*)CCC,CCCC1C=CCN1C(=O)CSc1nnc(C)s1
ZINC000055182677,*=CCN(CC=*)C(=O)c1cc(C)nc2cc(C)ccc12,Cc1ccc2c(C(=O)N3CC=CC3)cc(C)nc2c1
ZINC001506396139,*=CCNC(C=*)C(=O)N(C)CCC12CC3CC(CC(C3)C1)C2,CN(CCC12CC3CC(CC(C3)C1)C2)C(=O)C1C=CCN1
ZINC001506396755,*=CCN(C(=O)c1cnc(SC)nc1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1cnc(SC)nc1
ZINC001506397428,*=CCN(C(=O)c1csc(CN(C)C)n1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1csc(CN(C)C)n1
ZINC001506399968,*=CCC(CC=*)C(=O)N1CCCN(Cc2cccs2)CC1,O=C(C1CC=CC1)N1CCCN(Cc2cccs2)CC1
ZINC001506405330,*=CCN(C(=O)CC(=O)Nc1cccc(C)c1C)C(C=*)CC,CCC1C=CCN1C(=O)CC(=O)Nc1cccc(C)c1C
ZINC001506408548,*=CCN(C(=O)Cc1ccc2c(c1)OCO2)C(C=*)CCCC,CCCCC1C=CCN1C(=O)Cc1ccc2c(c1)OCO2
ZINC001506411366,*=CCN(C(=O)c1cnc2ccnn2c1C)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1cnc2ccnn2c1C
ZINC001506411919,*=CCN(C(=O)CCc1csc(N)n1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)CCc1csc(N)n1
ZINC001506416824,*=CC1CC(C=*)C(C(=O)N(C)Cc2ccc3nsnc3c2)C1,CN(Cc1ccc2nsnc2c1)C(=O)C1CC2C=CC1C2
ZINC001506421164,*=CCC(CC=*)C(=O)N1CCCC(OCc2ccccn2)C1,O=C(C1CC=CC1)N1CCCC(OCc2ccccn2)C1
ZINC001506422357,*=CCN(C(=O)c1ccc2c(c1)OCO2)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1ccc2c(c1)OCO2
ZINC001506425666,*=CCN(C(=O)c1cc(OC)ccn1)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1cc(OC)ccn1
ZINC001506426330,*=CCN(C(=O)c1cccnc1NC)C(C=*)CCCC,CCCCC1C=CCN1C(=O)c1cccnc1NC
ZINC000100958838,*=CC1CC(C=*)C(C(=O)OC)C1C(=O)Nc1ccc(C)cc1,COC(=O)C1C2C=CC(C2)C1C(=O)Nc1ccc(C)cc1
ZINC000193797996,*=CCC(CC=*)C(=O)NCC1CCN(Cc2ccccc2)C1,O=C(NCC1CCN(Cc2ccccc2)C1)C1CC=CC1
ZINC000299758210,*=CC1CC(C=*)C(C(=O)N2CC(OCc3ccccc3)C2)C1,O=C(C1CC2C=CC1C2)N1CC(OCc2ccccc2)C1
ZINC000000081965,*=CC1CC(C=*)C(C(=O)Nc2ccc(S(=O)(=O)N(C)C)cc2)C1,CN(C)S(=O)(=O)c1ccc(NC(=O)C2CC3C=CC2C3)cc1
ZINC000000081977,*=CC1CC(C=*)C(C(=O)Nc2ccc(S(=O)(=O)NCC)cc2)C1,CCNS(=O)(=O)c1ccc(NC(=O)C2CC3C=CC2C3)cc1
ZINC000000083051,*=CC1OC(C=*)C2C(=O)N(c3ccccc3C(F)(F)F)C(=O)C12,O=C1C2C3C=CC(O3)C2C(=O)N1c1ccccc1C(F)(F)F
ZINC000000168524,*=CC1CC(C=*)C(C(=O)Nc2ccc(OC)cc2OC)C1C(=O)O,COc1ccc(NC(=O)C2C3C=CC(C3)C2C(=O)O)c(OC)c1
ZINC000000178691,*=CC1C2C(=O)N(c3ccc4c(c3)OCO4)C(=O)C2C(C=*)C12CC2,O=C1C2C(C(=O)N1c1ccc3c(c1)OCO3)C1C=CC2C12CC2
ZINC000000197729,*=CC1C2C(=O)N(c3cccc(C(=O)O)c3)C(=O)C2C(C=*)C12CC2,O=C(O)c1cccc(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)c1
ZINC000000405944,*=CC1CC(C=*)C2C(=O)N(c3ccc(OC(=O)CC)cc3)C(=O)C12,CCC(=O)Oc1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1
ZINC000000405948,*=CC1CC(C=*)C2C(=O)N(c3cccc(OC(=O)CC)c3)C(=O)C12,CCC(=O)Oc1cccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c1
ZINC000000459248,*=CC1OC(C)(C=*)C2C(=O)N(c3ccc(C)c(Cl)c3)C(=O)C12,Cc1ccc(N2C(=O)C3C4C=CC(C)(O4)C3C2=O)cc1Cl
ZINC000000488792,*=CC1OC2(C=*)CN(c3cccc4ccccc34)C(=O)C2C1C(=O)O,O=C(O)C1C2C=CC3(CN(c4cccc5ccccc45)C(=O)C13)O2
ZINC000001197159,*=CC1C2C(=O)N(c3ccc(C(=O)O)cc3)C(=O)C2C(C=*)C12CC2,O=C(O)c1ccc(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)cc1
ZINC000001763793,*=CC1CC(C=*)C(C(=O)N2CCCCC2)C1C(=O)N1CCCCC1,O=C(C1C2C=CC(C2)C1C(=O)N1CCCCC1)N1CCCCC1
ZINC000002198493,*=CC1CC(C=*)C2C(=O)N(CCC(=O)Nc3ccccc3C)C(=O)C12,Cc1ccccc1NC(=O)CCN1C(=O)C2C3C=CC(C3)C2C1=O
ZINC000002501143,*=CC1OC(C)(C=*)C2C(=O)N(c3ccc(OCCC)cc3)C(=O)C12,CCCOc1ccc(N2C(=O)C3C4C=CC(C)(O4)C3C2=O)cc1
ZINC000002737718,*=CC1CC(C=*)C(C(=O)NCc2ccc(Cl)cc2)C1C(=O)O,O=C(O)C1C2C=CC(C2)C1C(=O)NCc1ccc(Cl)cc1
ZINC000002746897,*=CC1OC(C=*)C(C(=O)Nc2ccc(C(C)C)cc2)C1C(=O)O,CC(C)c1ccc(NC(=O)C2C3C=CC(O3)C2C(=O)O)cc1
ZINC000003634326,*=CC1CC(C=*)C(C(=O)Nc2ccc(N(C)C)cc2)C1C(=O)O,CN(C)c1ccc(NC(=O)C2C3C=CC(C3)C2C(=O)O)cc1
ZINC000003851291,*=CC1OC(C=*)C(C(=O)Nc2cccc3ccccc23)C1C(=O)O,O=C(O)C1C2C=CC(O2)C1C(=O)Nc1cccc2ccccc12
ZINC000003851589,*=CC1(C)CC(=O)CC(C=*)(CNC(=O)OCc2ccccc2)O1,CC12C=CC(CNC(=O)OCc3ccccc3)(CC(=O)C1)O2
ZINC000003903742,*=CC1OC2(C=*)CN(C3CCCCC3)C(=O)C2C1C(=O)OC(C)C,CC(C)OC(=O)C1C2C=CC3(CN(C4CCCCC4)C(=O)C13)O2
ZINC000004073304,*=CC1OC2(C=*)CN(c3ccc(C(C)C)cc3)C(=O)C2C1C(=O)O,CC(C)c1ccc(N2CC34C=CC(O3)C(C(=O)O)C4C2=O)cc1
ZINC000004121665,*=CC1C2C(=O)N(c3cccc(C(=O)OC)c3)C(=O)C2C(C=*)C12CC2,COC(=O)c1cccc(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)c1
ZINC000004141783,*=CC1CC(C=*)C2C(=O)N(CCC(=O)Nc3ccc(C)cc3)C(=O)C12,Cc1ccc(NC(=O)CCN2C(=O)C3C4C=CC(C4)C3C2=O)cc1
ZINC000004181541,*=CC1C(=C(C)C)C(C=*)C(C(=O)NCc2cccnc2)C1C(=O)O,CC(C)=C1C2C=CC1C(C(=O)NCc1cccnc1)C2C(=O)O
ZINC000004696866,*=CC1CC(C=*)C2C(=O)N(c3cccc(OC(=O)C=C)c3)C(=O)C12,C=CC(=O)Oc1cccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c1
ZINC000004713228,*=CC1CC(C=*)C2C(=O)N(c3ccc(C(=O)OCC)cc3)C(=O)C12,CCOC(=O)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1
ZINC000004719413,*=CC1C2C(=O)N(c3ccc(C(=O)OC)cc3)C(=O)C2C(C=*)C12CC2,COC(=O)c1ccc(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)cc1
ZINC000004832173,*=CC1CC(C=*)C(C(=O)Nc2cccc(NC(C)=O)c2)C1C(=O)O,CC(=O)Nc1cccc(NC(=O)C2C3C=CC(C3)C2C(=O)O)c1
ZINC000004892452,*=CC1OC(C=*)C(C(=O)Nc2c(CC)cccc2CC)C1C(=O)O,CCc1cccc(CC)c1NC(=O)C1C2C=CC(O2)C1C(=O)O
ZINC000004894123,*=CC1OC(C=*)C(C(=O)Nc2cc(Cl)ccc2C)C1C(=O)O,Cc1ccc(Cl)cc1NC(=O)C1C2C=CC(O2)C1C(=O)O
ZINC000005017885,*=CC1CC(C=*)C2C(=O)N(c3cccc(C(=O)OCC)c3)C(=O)C12,CCOC(=O)c1cccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c1
ZINC000005018514,*=CC1C2C(=O)N(c3ccc(OC(C)=O)cc3)C(=O)C2C(C=*)C12CC2,CC(=O)Oc1ccc(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)cc1
ZINC000005021118,*=CC1CC(C=*)C(C(=O)Nc2cc(OC)ccc2OC)C1C(=O)O,COc1ccc(OC)c(NC(=O)C2C3C=CC(C3)C2C(=O)O)c1
ZINC000005063135,*=CC1ON=C(c2c(Cl)cccc2Cl)C1S(=O)(=O)C=*,O=S1(=O)C=CC2ON=C(c3c(Cl)cccc3Cl)C21
ZINC000005070542,*=CC(CS(=O)(=O)C=*)N(C(=O)C1CC1)c1ccc(Cl)cc1,O=C(C1CC1)N(c1ccc(Cl)cc1)C1C=CS(=O)(=O)C1
ZINC000005071421,*=CC(CS(=O)(=O)C=*)N(C(=O)C(C)(C)C)c1ccc(OC)cc1,COc1ccc(N(C(=O)C(C)(C)C)C2C=CS(=O)(=O)C2)cc1
ZINC000005101458,*=CC1C2C(=O)N(c3cccc(OC(C)=O)c3)C(=O)C2C(C=*)C12CC2,CC(=O)Oc1cccc(N2C(=O)C3C(C2=O)C2C=CC3C23CC3)c1
ZINC000005175451,*=CC1CC(C=*)C2C(=O)N(c3cc(C(C)=O)ccc3OC)C(=O)C12,COc1ccc(C(C)=O)cc1N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC000005523011,*=CC1OC(C=*)C(C(=O)Nc2ccccc2C(C)C)C1C(=O)O,CC(C)c1ccccc1NC(=O)C1C2C=CC(O2)C1C(=O)O
ZINC000005538451,*=CC1OC(C=*)C(C(=O)Nc2c(C)cc(C)cc2C)C1C(=O)O,Cc1cc(C)c(NC(=O)C2C3C=CC(O3)C2C(=O)O)c(C)c1
ZINC000005904927,*=CC1CC(C=*)C2C(=O)N(c3ccccc3C(=O)OCC)C(=O)C12,CCOC(=O)c1ccccc1N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC000005949297,*=CC1OC(C=*)C(C(=O)Nc2ccc3ccccc3c2)C1C(=O)O,O=C(O)C1C2C=CC(O2)C1C(=O)Nc1ccc2ccccc2c1
ZINC000006017751,*=COC1Oc2cc(OC)c3c4c(c(=O)oc3c2C1C=*)C(O)CC4,COc1cc2c(c3oc(=O)c4c(c13)CCC4O)C1C=COC1O2
ZINC000006215982,*=CC1OC(C)(C=*)C2C(=O)N(c3cc(Cl)ccc3C)C(=O)C12,Cc1ccc(Cl)cc1N1C(=O)C2C3C=CC(C)(O3)C2C1=O
ZINC000006415621,*=CC1OC(C)(C=*)C(C(=O)Nc2cccc(Cl)c2)C1C(=O)O,CC12C=CC(O1)C(C(=O)O)C2C(=O)Nc1cccc(Cl)c1
ZINC000006699985,*=CC1CC(C=*)C(C(=O)Nc2cc(C(C)(C)C)on2)C1C(=O)O,CC(C)(C)c1cc(NC(=O)C2C3C=CC(C3)C2C(=O)O)no1
ZINC000006730303,*=CC1CC(C=*)C(C(=O)NCc2cccc(Cl)c2)C1C(=O)O,O=C(O)C1C2C=CC(C2)C1C(=O)NCc1cccc(Cl)c1
ZINC000006731665,*=CC1CC(C=*)C(C(=O)Nc2ccc(OC)cc2C)C1C(=O)O,COc1ccc(NC(=O)C2C3C=CC(C3)C2C(=O)O)c(C)c1
ZINC000006732071,*=CC1CC(C=*)C(C(=O)NCCc2ccc(F)cc2)C1C(=O)O,O=C(O)C1C2C=CC(C2)C1C(=O)NCCc1ccc(F)cc1
ZINC000006743114,*=CC1CC(C=*)C(CNS(=O)(=O)c2ccc(OC)c(OC)c2)C1,COc1ccc(S(=O)(=O)NCC2CC3C=CC2C3)cc1OC
ZINC000006931141,*=CC1OC(C)(C=*)C(C(=O)Nc2ccccc2Cl)C1C(=O)O,CC12C=CC(O1)C(C(=O)O)C2C(=O)Nc1ccccc1Cl
ZINC000012115043,*=CCN(C(=O)c1ccco1)C(C=*)C(=O)NCCc1ccccc1,O=C(NCCc1ccccc1)C1C=CCN1C(=O)c1ccco1
ZINC000012115045,*=CCN(C(=O)c1ccco1)C(C=*)C(=O)Nc1ccc(OC)cc1,COc1ccc(NC(=O)C2C=CCN2C(=O)c2ccco2)cc1
ZINC000012956962,*=CC1OC(C=*)C2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)C12,O=C1C2C3C=CC(O3)C2C(=O)N1c1cccc(C(F)(F)F)c1
ZINC000013150470,*=CC1C2C(=O)N(c3ccccc3C(=O)OC)C(=O)C2C(C=*)C12CC2,COC(=O)c1ccccc1N1C(=O)C2C(C1=O)C1C=CC2C12CC2
ZINC000013465642,*=CC1CC(C=*)C(C(=O)NCc2ccccc2Cl)C1C(=O)O,O=C(O)C1C2C=CC(C2)C1C(=O)NCc1ccccc1Cl
ZINC000019289280,*=CC1CC(C=*)C(C(=O)N2CCCC2c2nnc(SC)n2C)C1,CSc1nnc(C2CCCN2C(=O)C2CC3C=CC2C3)n1C
ZINC000021797856,*=COc1c(C=C(C=*)C(=O)N2CCOCC2)cc(Cl)cc1OC,COc1cc(Cl)cc2c1OC=CC(C(=O)N1CCOCC1)=C2
ZINC000032074618,*=CC1CC(C=*)C(CNC(=O)C(=O)Nc2cccc3[nH]ccc23)C1,O=C(NCC1CC2C=CC1C2)C(=O)Nc1cccc2[nH]ccc12
ZINC000032096739,*=CC1CC(C=*)C(CNC(=O)C(=O)Nc2ccc3cc[nH]c3c2)C1,O=C(NCC1CC2C=CC1C2)C(=O)Nc1ccc2cc[nH]c2c1
ZINC000035898247,*=CC1OC(C=*)C(C(=O)Nc2ccc(Cl)cc2F)C1C(=O)O,O=C(O)C1C2C=CC(O2)C1C(=O)Nc1ccc(Cl)cc1F
ZINC000040488097,*=CCCC(C=*)CC(=O)NC1CCN(C(=O)c2ccco2)CC1,O=C(CC1C=CCC1)NC1CCN(C(=O)c2ccco2)CC1
ZINC000041824081,*=CCCC(C=*)CC(=O)N1CCCC1C(=O)Nc1nccs1,O=C(Nc1nccs1)C1CCCN1C(=O)CC1C=CCC1
ZINC000044921209,*=CC1CC(C=*)C(CNC(=O)c2ccc(C)c(C)c2-n2cnnn2)C1,Cc1ccc(C(=O)NCC2CC3C=CC2C3)c(-n2cnnn2)c1C
ZINC000045027613,*=CC1CC(C=*)C(S(=O)(=O)C2=C(N3CCOCC3)CCC2)C1,O=S(=O)(C1=C(N2CCOCC2)CCC1)C1CC2C=CC1C2
ZINC000069594427,*=CCCC(C=*)CC(=O)NS(=O)(=O)c1cccc2cnccc12,O=C(CC1C=CCC1)NS(=O)(=O)c1cccc2cnccc12
ZINC000072403477,*=CC1CC(C=*)C(CNC(=O)Cn2c(=O)c(C)nc3ccccc32)C1,Cc1nc2ccccc2n(CC(=O)NCC2CC3C=CC2C3)c1=O
ZINC000072405560,*=CC1CC(C=*)C(CNC(=O)CCc2nc3ccccc3[nH]c2=O)C1,O=C(CCc1nc2ccccc2[nH]c1=O)NCC1CC2C=CC1C2
ZINC000075391280,*=CCCC(C=*)CC(=O)N1CCCN(c2nc(CC)ns2)CC1,CCc1nsc(N2CCCN(C(=O)CC3C=CCC3)CC2)n1
ZINC000079494376,*=CC1CC(C=*)C(CNC(=O)CCCc2nnc3ccccn23)C1,O=C(CCCc1nnc2ccccn12)NCC1CC2C=CC1C2
ZINC000081792596,*=CC(CO)CC(C=*)NC(=O)c1ccc(Br)s1,O=C(NC1C=CC(CO)C1)c1ccc(Br)s1
ZINC000092501046,*=CC(CO)CC(C=*)NC(=O)NC1C(C)C(OC)C1(CC)CC,CCC1(CC)C(NC(=O)NC2C=CC(CO)C2)C(C)C1OC
ZINC000093019508,*=CCC(CC=*)NS(=O)(=O)c1nc(C)c(Br)s1,Cc1nc(S(=O)(=O)NC2CC=CC2)sc1Br
ZINC000095440894,*=CCC(CC=*)NC(=O)C(=O)Nc1cc(C)nn1Cc1ccccc1,Cc1cc(NC(=O)C(=O)NC2CC=CC2)n(Cc2ccccc2)n1
ZINC000096042138,*=CCC(CC=*)C(=O)N1CCOC2C(Oc3cccnc3)CCC21,O=C(C1CC=CC1)N1CCOC2C(Oc3cccnc3)CCC21
ZINC000096042290,*=CCC(CC=*)C(=O)N1CCOC2C(Oc3ccccn3)CCC21,O=C(C1CC=CC1)N1CCOC2C(Oc3ccccn3)CCC21
ZINC000096066594,*=CCN(CC=*)C(=O)c1n[nH]c2c1CN(Cc1cccs1)CC2,O=C(c1n[nH]c2c1CN(Cc1cccs1)CC2)N1CC=CC1
ZINC000096070649,*=CCCC(C=*)CC(=O)N1CCC2CC(c3nc(C)n[nH]3)OC2C1,Cc1n[nH]c(C2CC3CCN(C(=O)CC4C=CCC4)CC3O2)n1
ZINC000096083821,*=CCC(CC=*)C(=O)N1CCc2nc(C)nc(NC3CC3)c2CC1,Cc1nc2c(c(NC3CC3)n1)CCN(C(=O)C1CC=CC1)CC2
ZINC000096084085,*=CCC(CC=*)C(=O)N1CCc2ncnc(N(CC)CC)c2CC1,CCN(CC)c1ncnc2c1CCN(C(=O)C1CC=CC1)CC2
ZINC000096085016,*=CCC(CC=*)C(=O)N1CCc2c(COC)nn(C(C)C)c2C1,COCc1nn(C(C)C)c2c1CCN(C(=O)C1CC=CC1)C2
ZINC000096118430,*=CC1CC(C=*)C(CNC(=O)CCc2nc(-c3ccncc3)no2)C1,O=C(CCc1nc(-c2ccncc2)no1)NCC1CC2C=CC1C2
ZINC000096157547,*=CCC(CC=*)C(=O)N1CCC2(CC1)CCN(c1ncccn1)C2,O=C(C1CC=CC1)N1CCC2(CC1)CCN(c1ncccn1)C2
ZINC000096159532,*=CCC(CC=*)C(=O)N1CCC2(CCN(c3cccnc3)C2=O)C1,O=C(C1CC=CC1)N1CCC2(CCN(c3cccnc3)C2=O)C1
ZINC000096187395,*=CCN(CC=*)C(=O)c1n[nH]c2c1CN(CC1CCCCC1)CC2,O=C(c1n[nH]c2c1CN(CC1CCCCC1)CC2)N1CC=CC1
ZINC000096187614,*=CCC(CC=*)C(=O)N1CCc2ncnc(-c3cccnc3)c2CC1,O=C(C1CC=CC1)N1CCc2ncnc(-c3cccnc3)c2CC1
ZINC000096197196,*=CCC(CC=*)C(=O)N1CCn2cc(CN(CC)CC)nc2C1,CCN(CC)Cc1cn2c(n1)CN(C(=O)C1CC=CC1)CC2
ZINC000096197209,*=CCC(CC=*)C(=O)N1CCn2cc(CN(C)C(C)C)nc2C1,CC(C)N(C)Cc1cn2c(n1)CN(C(=O)C1CC=CC1)CC2
ZINC000096215089,*=CCC(CC=*)C(=O)N1CCC2(CN(CC3CC3)CC2COC)C1,COCC1CN(CC2CC2)CC12CCN(C(=O)C1CC=CC1)C2
ZINC000096239135,*=CCC(CC=*)C(=O)N1CCC2(CC(=O)N(c3cccnc3)C2)C1,O=C(C1CC=CC1)N1CCC2(CC(=O)N(c3cccnc3)C2)C1
ZINC000096255546,*=CCC(CC=*)C(=O)N1CCc2ncnc(NC(C)C)c2CC1,CC(C)Nc1ncnc2c1CCN(C(=O)C1CC=CC1)CC2
ZINC000096450156,*=CCCC(C=*)CC(=O)NC1CCN(c2cc(CC)ncn2)CC1,CCc1cc(N2CCC(NC(=O)CC3C=CCC3)CC2)ncn1
ZINC000096466852,*=CCC(CC=*)C(=O)NCC1CC(=O)N(CCc2ccccc2)C1,O=C(NCC1CC(=O)N(CCc2ccccc2)C1)C1CC=CC1
ZINC000096485617,*=CC(CO)CC(C=*)NC(=O)C(C)(C)Cc1ccccc1OC,COc1ccccc1CC(C)(C)C(=O)NC1C=CC(CO)C1
ZINC000097372548,*=CCC(CC=*)C(=O)N1CCN(Cc2ccc(Cl)cn2)CC1,O=C(C1CC=CC1)N1CCN(Cc2ccc(Cl)cn2)CC1
ZINC000097372921,*=CC(CO)CC(C=*)NC(=O)Nc1ccccc1-n1nccc1C,Cc1ccnn1-c1ccccc1NC(=O)NC1C=CC(CO)C1
ZINC000100179305,*=CC1(C)OC(C)(C=*)C2C(=O)N(c3cccc(C(C)=O)c3)C(=O)C21,CC(=O)c1cccc(N2C(=O)C3C(C2=O)C2(C)C=CC3(C)O2)c1
ZINC000100200739,*=CC1(C)OC(C)(C=*)C2C(=O)N(c3ccc(C(C)=O)cc3)C(=O)C21,CC(=O)c1ccc(N2C(=O)C3C(C2=O)C2(C)C=CC3(C)O2)cc1
ZINC000100760718,*=CC1CC(C=*)C(CN(CCO)C(=O)c2cc(C(C)C)nn2C)C1,CC(C)c1cc(C(=O)N(CCO)CC2CC3C=CC2C3)n(C)n1
ZINC000102439791,*=CC1CC(C=*)C(C(=O)NC(C)c2cccc(OC)c2)C1C(=O)O,COc1cccc(C(C)NC(=O)C2C3C=CC(C3)C2C(=O)O)c1
ZINC000102678929,*=CC1CC(C=*)C(C(=O)Nc2nc(CCC(=O)OC)cs2)C1,COC(=O)CCc1csc(NC(=O)C2CC3C=CC2C3)n1
ZINC000102680328,*=CCN(CC=*)C1CCN(S(=O)(=O)c2cc(C)cc(F)c2)CC1,Cc1cc(F)cc(S(=O)(=O)N2CCC(N3CC=CC3)CC2)c1
ZINC000102684612,*=CC1CC(C=*)C(C(=O)NCc2cn(-c3ccc(OC)cc3)nn2)C1,COc1ccc(-n2cc(CNC(=O)C3CC4C=CC3C4)nn2)cc1
ZINC000102690294,*=CC1CC(C=*)C(C(=O)NCc2nc(C)c(C(=O)OCC)s2)C1,CCOC(=O)c1sc(CNC(=O)C2CC3C=CC2C3)nc1C
